一	y ī
一丁不识	y ī d īng b ù sh í
一丁点儿	y ī d īng d iǎn er
一不小心	y í b ù x iǎo x īn
一不扭众	y ī b ù n iǔ zh òng
一专多能	y ī zh uān d uō n éng
一丘之貉	y ī q iū zh ī h é
一丝不差	y ì s ī b ù ch ā
一丝不挂	y ī s ī b ù g uà
一丝不紊	y ī s ī b ù w ěn
一丝不苟	y ī s ī b ù g ǒu
一个	y í g è
一个劲	y í g è j ìn
一个半个	y ī g è b àn g è
一个巴掌拍不响	y ī g è b ā zh ǎng p āi b ù x iǎng
一个心眼	y í g è x īn y ǎn
一个心眼儿	y í g è x īn y ǎn ér
一个萝卜一个坑	y ī g è l uó b o y ī g è k ēng
一举万里	y ī j ǔ w àn l ǐ
一举两得	y ī j ǔ l iǎng d é
一之为甚	y ī zh ī w éi sh èn
一之已甚	y ī zh ī y ǐ sh èn
一之谓甚	y ī zh ī w èi sh èn
一乱涂地	y ī l uàn t ú d ì
一了	y ī l iǎo
一了百了	y ī l iǎo b ǎi l iǎo
一了百当	y ī l iǎo b ǎi d àng
一争高低	y ī zh ēng g āo d ī
一事不知	y ī sh ì b ù zh ī
一事无成	y í sh ì w ú ch éng
一五一十	y ì w ǔ y ì sh í
一些	y ī x iē
一些半些	y ī x iē b àn x iē
一人做事一人当	y ì r én z uò sh ì y ì r én d āng
一人有庆	y ī r én y ǒu q ìng
一仆二主	y ī p ú èr zh ǔ
一介不取	y ī j iè b ù q ǔ
一介不苟	y ī j iè b ù g ǒu
一代	y í d ài
一代不如一代	y ī d ài b ù r ú y ī d ài
一代楷模	y ī d ài k ǎi m ó
一代风流	y ī d ài f ēng l iú
一令纸	y ī l ǐng zh ǐ
一以当十	y ī y ǐ d āng sh í
一以当百	y ī y ǐ d āng b ǎi
一任	y ī r èn
一份	y ī f èn
一伙儿	y ī h uǒ er
一会	y ī h uì
一会儿	y ī h uì er
一似	y ī s ì
一体	y ī t ǐ
一体两面	y ì t ǐ l iǎng m iàn
一体同心	y ī t ǐ t óng x īn
一佛出世	y ī f ó ch ū sh ì
一侧	y ī c è
一倍	y í b èi
一倡一和	y ī ch àng y ī h é
一倡三叹	y ī ch àng s ān t àn
一倡百和	y ī ch àng b ǎi h è
一偏之见	y ī p iān zh ī j iàn
一偏之论	y ī p iān zh ī l ùn
一元化	y ī y uán h uà
一元大武	y ī y uán d à w ǔ
一元论	y ī y uán l ùn
一共	y ī g òng
一出戏	y ì ch ū x ì
一刀两断	y ì d āo l iǎng d uàn
一刀切	y ī d āo q iē
一分	y ī f ēn
一分一毫	y ī f ēn y ī h áo
一分为二	y ī f ēn w éi èr
一分子	y ī f èn z ǐ
一分子甲烷	y ī f ēn z ǐ j iǎ w án
一分钟	y ì f ēn zh ōng
一切	y ī q iè
一切万物	y ī q iē w àn w ù
一切众生	y ī q iè zh òng sh ēng
一刹那	y ī ch à n à
一剑之任	y ī j iàn zh ī r èn
一副	y ī f ù
一力承当	y ī l ì ch éng d āng
一动不动	y ī d òng b ù d òng
一动不如一静	y ī d òng b ù r ú y ī j ìng
一劳永逸	y ì l áo y ǒng y ì
一包在内	y ī b āo z ài n èi
一匡九合	y ī k uāng j iǔ h é
一匹	y ì p ǐ
一匹马	y ì p ǐ m ǎ
一十八层地狱	y ī sh í b ā c éng d ì y ù
